ID,Lat,Lon,h,FA
5,24.01889,32.85167,180,-9.30873
6,24.1,32.9,93,-11.2668
7,24.9925,32.905,94,-22.91141
9,25.68333,32.71667,79,-30.20424
10,25.69833,32.64278,77,-20.53929
13,26.56778,31.67222,62,-50.86447
16,26.1025,34.27667,30,3.69687
17,27.06167,31.01667,220,-8.85552
18,27.19167,33.8125,15,-7.18367
19,27.71639,33.50056,13.4,-29.09883
20,27.22833,33.84278,2,3.54231
22,28.35083,33.10889,35.2,-29.71771
29,29.95083,31.07778,105,5.42894
30,29.93333,32.56111,2,-26.65975
31,29.38111,32.56472,2,-34.66329
33,29.11139,32.66361,5,-18.83179
36,22.925,28.87917,310,16.00184
37,22.15167,29.4525,233,3.36427
39,24.11667,27.75417,420,0.52385
41,25.495,28.96833,150,-22.11959
44,28.36417,28.91167,140,7.94717
46,29.775,28.54167,81,0.80644
47,30.38194,30.38917,45,-8.31814
48,30.49,31.4825,10,-11.16418
49,30.4575,31.1975,14,-15.9038
50,30.13333,31.4,112,-0.41673
51,30.13167,31.40667,94.8,-4.68395
53,30.57806,32.19722,6.1,-17.36815
54,31.35583,30.42,2.1,2.33897
55,31.26667,32.23333,1,12.76162
56,31.28333,32.3,4,6.98146
57,31.10833,30.94,6.3,-17.08153
58,31.53083,31.85583,3,29.54625
60,31.235,32.29083,2.1,15.63829
63,30.87667,28.86806,8,13.32615
64,30.53444,28.49639,156,22.17976
67,31.05,28.44194,22,22.06251
68,31.19194,29.95417,2,0.41477
70,31.08,33.82778,28,0.44867
74,30.03333,31.2,20,-3.34352
75,30.15,31.45,66,-0.2996
76,30.79167,30.99833,9,-22.48753
77,31.13333,29.8,0.6,10.34118
81,29.3,30.85,23,1.96465
82,30.08,31.32,47.8,5.18146
84,30.08333,31.51667,200.2,14.63097
85,30.08333,31.61667,211.8,18.80073
86,30.1,31.73333,232.9,25.23623
87,30.09167,31.83333,218,17.49112
102,30.91,30.195,5.4,-7.51927
103,30.775,30.45,3.9,-12.16762
104,30.63333,30.78,7.3,-28.47339
105,30.64167,31.41,11.9,-9.42387
111,30.71833,31.79,7.6,-7.35815
112,30.96667,31.87,1.6,-2.32596
114,29.8,31.28,21.8,-7.98951
115,29.62,31.25,24.8,3.42093
116,29.33,31.20833,26,-0.26264
117,29.07,31.09,29.6,-3.98444
119,29.83,30.61,201.2,9.49582
124,28.52,29.61,146.1,18.82449
127,28.49,30.8,31,-5.89331
128,30.88,30.66333,8.2,-8.68736
129,31.03333,30.46667,4.7,2.67395
130,31.08,30.26,3.4,8.74711
131,31.11,30.09,4.5,11.7198
132,31.18333,30.03333,2.4,15.17735
134,31.15,29.83333,2.8,11.38741
135,31.08,29.73,1.6,7.39163
136,31,29.62,2.9,7.44767
137,31.1,29.85,2.1,10.19823
138,30.95,29.86667,14.4,7.78227
139,30.9,30.03333,12.2,1.5153
141,31.27,30.09,0.7,18.15189
142,31.27,30.18333,3.4,15.33511
145,31.21,30.54,5.8,10.67212
146,31.29,30.7,9.2,10.56169
147,31.13,30.64,4.8,7.13379
148,31.05,30.08,0.2,1.46503
149,31.16,30.12,12.2,14.66843
150,31.1,30.18333,1.9,8.74651
151,31.17833,30.17,1.9,13.82315
152,31.13167,30.18,3.4,9.2785
154,25.73,32.65833,68.8,-10.76452
157,24.07,32.89167,63,-5.76747
158,30.03333,31.18333,20,-3.01352
159,30,31.08333,29.8,6.98871
160,30.08333,31.01667,41.46,6.4138
161,30.1,31,63.44,8.19087
165,30.3,30.75,72.91,-57.58218
166,30.3,30.7,56.27,-58.52729
167,30.31667,30.66667,83.9,-60.87228
168,30.35,30.61667,74.15,-61.65566
169,30.36667,30.55,65.54,-63.10562
186,31.25,27.11667,146.2,68.0959
187,31.15,27,175.4,65.84177
188,31.06667,26.88333,213.4,67.98792
189,30.96667,26.78333,229.4,65.67312
190,30.86667,26.71667,228.1,60.6246
191,30.66667,26.53333,209.7,56.63647
192,30.53333,26.5,179.3,60.25797
193,30.41667,26.43333,193.5,60.72152
194,30.3,26.35,191.1,61.17125
195,30.2,26.25,194.2,54.1885
196,30.11667,26.13333,192.9,48.88584
197,30.01667,26.01667,202.3,49.20845
198,29.91667,25.9,194.2,45.80472
199,29.83333,25.78333,177.7,41.42391
200,29.71667,25.71667,162.6,37.37687
201,29.56667,25.61667,138.7,33.32696
202,29.55,25.6,129.8,31.07212
